2019-11-24 23:59:40,"b""RT @DavidHeadViews: The Conservatives' unadventurous, underwhelming manifesto shows that there is no #Brexit dividend for the nation whatso\xe2\x80\xa6"""
2019-11-24 23:59:37,"b'RT @PompeyBrexit: #ToryManifesto full of no promises and nothing new. It\xe2\x80\x99s power that matters to #BorisJohnson, not delivery. #Brexit needs\xe2\x80\xa6'"
2019-11-24 23:59:32,"b'RT @petersingh206: Do we live in a different country John, Prime minister Boris Johnson is not racist and neither is Tommy Robinson, me, I\xe2\x80\xa6'"
2019-11-24 23:59:29,b'RT @realbasedamy: #Broxtowe #Vote4AmyDallaMura #VoteAmy4Broxtowe #Brexit #VoteAmy #Beeston #Kimberley #Stapleford #GE2019 #GeneralElection2\xe2\x80\xa6'
2019-11-24 23:59:14,b'RT @DeclanKearneySF: #Annaghmore &amp; Red Row #Toome canvass this evening\nClear choice between the negativity of #Brexit Tories/DUP &amp; positive\xe2\x80\xa6'
2019-11-24 23:59:09,"b'RT @LBC: Iain Duncan Smith argued that Jeremy Corbyn staying \'neutral\' in a second referendum is ""deceit on the British people"". \n\n@toryboy\xe2\x80\xa6'"
2019-11-24 23:59:02,"b'RT @cliodiaspora: \xf0\x9f\x9a\xa8EU/EEA/Swiss citizen or non-EU/EEA/Swiss family member? \nTake part in \xf0\x9f\x91\x89Settled Status Survey. Working with @the3million,\xe2\x80\xa6'"
2019-11-24 23:58:58,"b'RT @DarrenPlymouth: ""Go to a white fucking Country""\n\n#GE2019 #Brexit\xf0\x9f\x87\xac\xf0\x9f\x87\xa7 - who we are matters, the #UK is our country!\n\n https://t.co/wg11zMs\xe2\x80\xa6'"
2019-11-24 23:58:57,"b'RT @TheRenewALL: The loony leftie dream,\nversus reality.\n\nTheir culture is the enemy to the West.\n\n#Remigration\n#CloseBorders\n#Brexit \n#Nex\xe2\x80\xa6'"
2019-11-24 23:58:49,b'RT @jamesdeeganMC: I mean you have to take your hat off to @johnmcdonnellMP gets caught out telling a lie. Then immediately lies about the\xe2\x80\xa6'
2019-11-24 23:58:38,"b'RT @Doozy_45: Boris Johnson - Pathological Liar:\n\n""I can never tell if you\'re doing it or not. You\'re like the \'Donald Trump\' of lying""\n\n#G\xe2\x80\xa6'"
2019-11-24 23:58:36,"b'RT @DarrenPlymouth: Additional spending plans 2023/24, by party: - \n\nCons \xc2\xa32.9bn\nLib \xc2\xa348.2bn\nLab \xc2\xa382.9bn\n\nFor every \xc2\xa31 the Tories plan to s\xe2\x80\xa6'"
2019-11-24 23:58:32,"b'RT @JKLDNMAD: @MattHancock The Tories if they ""get #Brexit done"" will be so desperate for a trade deal with Donald Trump\'s ""America First""\xe2\x80\xa6'"
2019-11-24 23:58:29,"b'RT @DarrenPlymouth: Additional spending plans 2023/24, by party: - \n\nCons \xc2\xa32.9bn\nLib \xc2\xa348.2bn\nLab \xc2\xa382.9bn\n\nFor every \xc2\xa31 the Tories plan to s\xe2\x80\xa6'"
2019-11-24 23:58:23,b'RT @VictorEriceira: Dear #Family and #Friends \n\nMake the best out of life and stop wasting time\nBe strong and break up with bad habits\nVeer\xe2\x80\xa6'
2019-11-24 23:58:20,b'RT @VictorEriceira: To #Brexit Or Not To Brexit?\n\nLatest polls indicate #BorisJohnson is set to CRUSH #JeremyCorbyn and secure a huge major\xe2\x80\xa6'
2019-11-24 23:58:19,"b'RT @DarrenPlymouth: Additional spending plans 2023/24, by party: - \n\nCons \xc2\xa32.9bn\nLib \xc2\xa348.2bn\nLab \xc2\xa382.9bn\n\nFor every \xc2\xa31 the Tories plan to s\xe2\x80\xa6'"
2019-11-24 23:58:17,"b'RT @DarrenPlymouth: Additional spending plans 2023/24, by party: - \n\nCons \xc2\xa32.9bn\nLib \xc2\xa348.2bn\nLab \xc2\xa382.9bn\n\nFor every \xc2\xa31 the Tories plan to s\xe2\x80\xa6'"
2019-11-24 23:58:17,b'RT @georgegalloway: There\xe2\x80\x99s NOTHING \xe2\x80\x9cleft-wing\xe2\x80\x9d about mass immigration. Not for the countries losing their best and brightest nor for the w\xe2\x80\xa6'
2019-11-24 23:58:13,b'Labour pledges \xc2\xa358bn for women caught in pension trap https://t.co/gYVuQCKpWc #brexit #labour #ukelection #SNP #england #britain #uk'
2019-11-24 23:58:03,"b""RT @CatrionaSNP: In #EdinburghSouth, many No-voters feel they've now voted twice to retain their EU membership (remember that 2014 Better T\xe2\x80\xa6"""
